UF,Código do Município,Município,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
RS,431390.0,Rs-Panambi,419.0,608.0,-189.0,-1.3378636653217244,6296.0,6318.0,-22.0,-0.1575479805213406
RS,431395.0,Rs-Pantano Grande,81.0,84.0,-3.0,-0.13186813186813187,1236.0,1099.0,137.0,6.215970961887477
RS,431400.0,Rs-Parai,76.0,86.0,-10.0,-0.3359086328518643,1127.0,1068.0,59.0,2.0184741703729046
RS,431402.0,Rs-Paraiso do Sul,5.0,14.0,-9.0,-1.7013232514177694,344.0,311.0,33.0,6.860706860706861
RS,431403.0,Rs-Pareci Novo,11.0,14.0,-3.0,-0.41899441340782123,309.0,281.0,28.0,4.099560761346998
RS,431405.0,Rs-Parobe,641.0,602.0,39.0,0.2728035814213766,8456.0,7412.0,1044.0,7.802690582959642
RS,431406.0,Rs-Passa Sete,2.0,3.0,-1.0,-0.9174311926605505,39.0,30.0,9.0,9.375
RS,431407.0,Rs-Passo do Sobrado,30.0,45.0,-15.0,-1.6198704103671708,613.0,512.0,101.0,12.154031287605296
RS,431410.0,Rs-Passo Fundo,2225.0,2581.0,-356.0,-0.5161140670078432,39623.0,36145.0,3478.0,5.320646187737119
RS,431413.0,Rs-Paulo Bento,17.0,14.0,3.0,0.5905511811023622,240.0,191.0,49.0,10.606060606060606
RS,431415.0,Rs-Paverama,46.0,61.0,-15.0,-1.079913606911447,847.0,680.0,167.0,13.72226787181594
RS,431417.0,Rs-Pedras Altas,7.0,9.0,-2.0,-1.1494252873563218,104.0,92.0,12.0,7.643312101910828
RS,431420.0,Rs-Pedro Osorio,31.0,46.0,-15.0,-1.5353121801432956,458.0,413.0,45.0,4.859611231101512
RS,431430.0,Rs-Pejucara,8.0,14.0,-6.0,-1.090909090909091,132.0,124.0,8.0,1.5151515151515151
RS,431440.0,Rs-Pelotas,2712.0,3237.0,-525.0,-0.8447033080190501,29971.0,29395.0,576.0,0.9269540868053878
RS,431442.0,Rs-Picada Cafe,10.0,67.0,-57.0,-2.4923480542195016,814.0,1273.0,-459.0,-17.22326454033771
RS,431445.0,Rs-Pinhal,22.0,17.0,5.0,0.5966587112171837,313.0,310.0,3.0,0.3618817852834741
RS,431446.0,Rs-Pinhal da Serra,5.0,21.0,-16.0,-8.040201005025125,119.0,98.0,21.0,12.574850299401197
RS,431447.0,Rs-Pinhal Grande,3.0,2.0,1.0,0.45045045045045046,93.0,71.0,22.0,10.891089108910892
RS,431449.0,Rs-Pinheirinho do Vale,9.0,7.0,2.0,0.6535947712418301,154.0,150.0,4.0,1.3245033112582782
RS,431450.0,Rs-Pinheiro Machado,40.0,48.0,-8.0,-0.709849157054126,568.0,412.0,156.0,16.049382716049383
RS,431454.0,Rs-Pinto Bandeira,59.0,80.0,-21.0,-5.8171745152354575,450.0,279.0,171.0,52.61538461538462
RS,431455.0,Rs-Pirapo,3.0,1.0,2.0,1.8018018018018018,37.0,38.0,-1.0,-0.8849557522123894
RS,431460.0,Rs-Piratini,56.0,137.0,-81.0,-3.8028169014084505,933.0,1156.0,-223.0,-9.493401447424436
RS,431470.0,Rs-Planalto,47.0,48.0,-1.0,-0.07446016381236038,655.0,556.0,99.0,8.02919708029197
RS,431475.0,Rs-Poco das Antas,3.0,10.0,-7.0,-2.31023102310231,85.0,826.0,-741.0,-71.38728323699422
RS,431477.0,Rs-Pontao,12.0,8.0,4.0,1.0443864229765014,172.0,155.0,17.0,4.829545454545454
RS,431478.0,Rs-Ponte Preta,2.0,1.0,1.0,1.0752688172043012,32.0,35.0,-3.0,-3.1578947368421053
RS,431480.0,Rs-Portao,271.0,399.0,-128.0,-1.3631522896698616,5141.0,4910.0,231.0,2.5695216907675196
RS,431490.0,Rs-Porto Alegre,17897.0,21462.0,-3565.0,-0.6511617712330794,255050.0,240967.0,14083.0,2.6385308312599296
RS,431500.0,Rs-Porto Lucena,4.0,5.0,-1.0,-0.3289473684210526,90.0,88.0,2.0,0.6369426751592357
RS,431505.0,Rs-Porto Maua,2.0,7.0,-5.0,-3.816793893129771,69.0,57.0,12.0,10.526315789473683
RS,431507.0,Rs-Porto Vera Cruz,0.0,2.0,-2.0,-3.4482758620689653,26.0,18.0,8.0,16.3265306122449
RS,431510.0,Rs-Porto Xavier,47.0,69.0,-22.0,-1.8302828618968388,641.0,677.0,-36.0,-2.922077922077922
RS,431513.0,Rs-Pouso Novo,2.0,3.0,-1.0,-0.48543689320388345,85.0,92.0,-7.0,-3.30188679245283
RS,431514.0,Rs-Presidente Lucena,54.0,80.0,-26.0,-1.1255411255411256,1109.0,1018.0,91.0,4.1723979825768
RS,431515.0,Rs-Progresso,13.0,15.0,-2.0,-0.322061191626409,246.0,213.0,33.0,5.719237435008666
RS,431517.0,Rs-Protasio Alves,9.0,8.0,1.0,0.3703703703703704,157.0,145.0,12.0,4.705882352941177
RS,431520.0,Rs-Putinga,4.0,20.0,-16.0,-3.4408602150537635,157.0,159.0,-2.0,-0.4434589800443459
RS,431530.0,Rs-Quarai,102.0,144.0,-42.0,-1.2844036697247707,1738.0,1477.0,261.0,8.776059179556153
RS,431531.0,Rs-Quatro Irmaos,3.0,3.0,0.0,0,53.0,49.0,4.0,2.4242424242424243
RS,431532.0,Rs-Quevedos,5.0,13.0,-8.0,-4.123711340206185,88.0,88.0,0.0,0
